3.539,0.1593,0.1793,0.22930000,0.24930000
17.693,0.6923,0.7123,0.76230000,0.78230000
35.386,0.761,0.791,0.84100000,0.86100000
70.771,0.8324,0.8624,0.91240000,0.94740000
106.157,0.8324,0.8624,0.91240000,0.94740000
141.543,0.8681,0.9081,0.95810000,0.99310000
176.929,0.8571,0.8971,0.94710000,0.94910000
212.314,0.8709,0.9109,0.96090000,0.96290000
247.7,0.8791,0.9291,0.98910000,0.99110000
283.086,0.8736,0.9236,0.98360000,0.98560000
318.471,0.8846,0.9346,0.99460000,0.99660000
353.857,0.8874,0.9374,0.99740000,0.99940000
